english;french
Abradable;Ponçable
Abraser;Appareil d'essai d'érosion
Abrasion;Abrasion
Abrasion;Erosion
Abrasive;Abrasif
Abrasive cloth;Toile abrasive
Abrasive dull-grinding;Dépolissage à l'abrasif
Abrasive paper;Papier de verre papier Emeri
Abrasiveness;Abrasivité
Abreast of;A la hauteur de
Abreast of;Travers de
Abrupt stiffener ending;Extrémité élégie de raidisseur (de c
Abscissa;Abscisse
Absence of IFF response;Absence de réponse IFF
Absence of faults;Absence de défauts
Absolute permittivity;Permittivité absolue
Absolute zero;Zéro absolu
Absorbed dose;Dose absorbée
Absorber;Absorbant (élément hyperfréquence)
Absorber;Absorbeur
Absorber dynamic vibration;Absorbeur dynamique de vibrations
Absorber broadband;Absorbeur à large bande
Absorber carbon dioxide;Absorbeur de dioxyde de carbone
Absorber interface mode;Absorbeur de mode croisé
Absorber microwave;Absorbeur à micro-ondes
Absorber multispectral;Absorbeur multibandes
Absorber quarter wave;Absorbeur quart d'onde
Absorber sandwich type;Absorbeur multicouches
Absorber shock;Absorbeur d'énergie
Absorber solid dielectric loaded;Absorbeur monocouche
Absorber spark;Absorbeur d'étincelle
Absorption energy;Absorption d'énergie (d'une poutre
Absorption impact energy;Absorption d'énergie d'impact
Abstract (from log);Extrait du journal de bord
Abuse;Epreuve sévère
Abut (to);Abouter
Acaroid;Acroïde
Acaroid;Xanthorrée
Accelerate the missile (to);Accélérer la vitesse du missile
Accelerated weathering;Vieillissement accéléré
Acceleration;Accélération
Acceleration due to gravity;Accélération de la pesanteur
Acceleration due to gravity;Accélération due à la gravité (la pe
Acceleration meter;Accéléromètre
Acceleration of free fall;Accélération en chute libre
Acceleration of the rotor;Accélération du rotor
Acceleration high lateral;Accélération latérale élevée
Acceleration linear;Accélération linéaire
Accelerator;Accélérateur
Accelerator;Accélérateur
Accept (to);Prendre en compte (un signal)
Acceptance;Acceptation/réception
Acceptance;Recette
Acceptance certification;Certification de bonne exécution
Acceptance criteria;Conditions de réception
Acceptance criteria;Modalités de réception / acceptation
Acceptance decision;Décision d'acceptation
Acceptance of a document;Acceptation d'un document
Acceptance order;Ordre de recette
Acceptance questionnaire;Questionnaire d'admission
Acceptance time deadline;Délai d'approbation
Acceptance trials consumptions;Opérations d'essais officiels conso
Acceptance compartment;Recette des locaux
Acceptance material;Recette de matériaux
Acceptance technical;Recette technique
Accepted practice / rules of the art;Règles de l'art
Accepting delivered equipment;Réception de matériels
Access;Abord
Access;Accès
Access opening;Brèche  (de pont de cloison)
Access opening;Brèche d'accès
Access route  (to a compartment...);Parcours d'accès (à un compartiment.
Access soft patch;Descente d'accès
Access trunk;Tambour d'accès
Accessibility of live parts;Accessibilité des parties sous tensi
Accessorial charge;Commission pour frais accessoires
Accessories distribution;Accessoires de distribution
Accessories installation;Accessoires de pose (d'installation)
Accessories securing;Accessoires de fixation
Accessories securing/fastening;Accessoires liaisons mécaniques
Accessories system;Accessoires d'installations
Accessory;Accessoire (nom)
Access Time Division Multiple;Accès multiple par répartition dans
Access code division multiple;Accès multiple par différence de cod
Access direct memory;Accès direct à la mémoire
Access ease of;Accessibilité
Accident;Accident
Accidental firing;Allumage intempestif
Accidental spills;Déversements accidentels
Accommodation 0.5 T/M2 on each deck;Logement à raison de 05T/M2 sur cha
Accommodation ladder;Coupée
Accommodation ladder;Echelle d'embarquement/échelle de co
Accommodation module;Module logement
Accommodation module supported on fo;Module logement supporté par quatre
Accommodation spaces;Logements
Accommodation store and cash clothin;Voilerie et soute à chiffons
Accommodation support;Support de logements
Accommodation support plating;Platelage support de logements
Accommodation (iaw ISO standards);Emménagements
Account;Compte
Account estimating principalservices;Bureau de Gestion Financière des Pro
Accounting close;Clôture comptable
Accounting currency;Monnaie de compte
Accounts;Trésorerie
Accreditation;Agrément
Accumulator;Accumulateur (hydr. ou pneum.)
Accumulator;Amortisseur de pulsations
Accumulator capacity indicator;Accumètre
Accumulator charging;Gonflage d'accumulateur
Accumulator plate;Lame d'accumulateur
Accumulator (GB);Accumulateur
Accumulators;Accus
Accumulator bladder;Accumulateur à vessie
Accumulator hydraulic;Accumulateur hydraulique
Accumulator hydropneumatic;Accumulateur hydro-pneumatique
Accumulator oleopneumatic;Accumulateur oléopneumatique
Accuracy;Exactitude / justesse / précision
Accuracy;Précision
Accuracy of fire;Justesse de tir
Accuracy absolute;Précision absolue
Accuracy angular;Précision angulaire
Accuracy balancing machine;Précision d'une machine à équilibrer
Accuracy cutting;Précision de coupe
Accuracy dimensional;Précision dimensionnelle
Accuracy fitting;Précision d'accostage
Accuracy ranging (radar);Précision en distance
Accuracy running (of a rolling bear;Exactitude de rotation
Acetal plastic;Résine acétonique
Acetate;Acétate
Acetic anhydride;Anhydride acétique
Acetone;Acétone
Acetylation;Acétylation
Acetylene;Acétylène
Achievement of a step;Réalisation d'une étape
Achievement of a target/aim/objectiv;Maîtrise d'un objectif
Achromatic;Achromatique
Acid dipping;Dépassivation acide
Acid number;Indice d'acide
Acid value;Indice d'acidité
Acidimeter;Pèse-acide
Acid acetic;Acide acétique
Acid chlorendic;Acide chlorendique
Acid fumaric;Acide fumarique
Acid fuming sulphuric;Acide sulfurique fumant
Acid glacial acetic;Acide acétique concentré
Acid hydrochloric;Acide chlorhydrique
Acid hydrofluoric;Acide fluorhydrique
Acid inorganic;Acide inorganique
Acid picric;Acide picrique
Acknowledge;Accuser réception
Acknowledge;Faites l'aperçu
Acknowledge (to);Homologuer
Acknowledged / recognized;Accepté
Acknowledgement;Acquittement
Acknowledgement receipt;Accusé de réception
Acorn;Pomme de girouette
Acorn grip;Griffe
Acoustic discretion (noise reduction;Discrétion acoustique
Acoustic environment assessment (pro;Evaluation environnement acoustique
Acoustic gear;Appareil acoustique
Acoustic generator;Transducteur acoustique
Acoustic hood;Capot d'isolation
Acoustic intensity;Intensité acoustique
Acoustic marker (pinger);Marquer acoustique
Acoustic performance;Performances acoustiques
Acoustic pressure;Pression acoustique
Acoustic pulse;Impulsion acoustique
Acoustic response;Réponse acoustique
Acoustics;Acoustique
Acoustics underwater;Acoustique sous-marine
Acquisition;Acquisition
Acquisition;Saisie
Acquisition agency;Acquéreur
Acquisition autonomous;Acquisition autonome
Acquisition one-pass target;Acquisition d'une passe unique de ci
Acquisition target;Acquisition d'objectif
Acquisition target;Acquisition d'une cible
Acquisition target;Acquisition du but
Acronym;Sigle
Across flats;Sur plats (dimension)
Across the bow;A travers de l'avant
Acrylic;Acrylique
Acrylic emulsion;Emulsion acrylique
Acrylonitrile-butadiene-styrene;Acrylonitrile-butadiène-styrène
Act as an intermediary between x and;Etre pilote
Act of god;Force majeure
Actimeter;Actimètre
Action damage repairs;Réparations de combat
Action data automation;Automatisation des données sur le co
Action data automation weapons syste;Equivalent britannique du SENIT
Action data automisation (computer l;Langage informatique
Action intercom;Réseau d'interphone opérations
Action radius;Rayon d'action
Action state;Stade de combat
Action station (GB)/Battle station/g;Poste de combat
Action stations;Postes  de combat
Actions to be performed;Actions à mener
Action contingency;Action d'opportunité
Action corrective;Action corrective
Action delayed;Action différée
Action evasive;Action d'évitement
Action execution;Action d'exécution
Action mechanical;Action mécanique
Action out of;Service hors
Action preparative;Action de préparation
Action preventive;Action préventive
Action recording;Action d'archivage
Action remedial;Action curative
Activator;Activateur
Activator;Promoteur
Active control unit of a ship;Moyen de contrôle actif du navire
Active getter;Getter actif
Active homing;Guidage actif
Active load sharing;Répartition de la charge active
Active mud tank;Caisse à boues actives
Active roll-stabilizer;Stabilisateur antiroulis actif
Active tank stabilisation system;Cuve de stabilisation du type actif
Activeille radioactivity sensor;"Sonde ""activeille"""
Activity code;Numéro APE
Activity probabilistic estimate;Estimation probabiliste dune durée d
Actual;Réel  (contraire de théorique)
Actual centreline;Axe réel
Actual cost of work performed;Coût réel du travail effectué
Actual emitter;Emetteur réel
Actual hull with appendages;Carène réelle avec appendices
Actual need;Besoin réel
Actual storage;Stock réel
Actual throat (of weld);Gorge réelle (d'une soudure)
Actualisation formulae;Formules d'actualisation
Actuation;Influence
Actuator;Actionneur
Actuator;Amorce explosive
Actuator;Moteur couple
Actuator;Moteur de commande.
Actuator;Vérin
Actuator;Vérin de manoeuvre
Actuator;Vérin pyrotechnique
Actuator cylinder;Corps de vérin
Actuator annular hydraulic;Vérin hydraulique annulaire
Actuator barrier valve;Commande de valve pilotée à distance
Actuator differential area pilot-va;Commande de valve pilotée par surfac
Actuator differential pressure pilo;Commande de valve pilotée par pressi
Actuator external pilot-valve;Commande de valve à pilotage externe
Actuator fin tilting;Vérin d'inclinaison d'aileron
Actuator house / extend (stabilizer;Vérin de rentrée/sortie
Actuator house/extend (for stabiliz;Vérin d'escamotage
Actuator linear;Actionneur linéaire
Actuator pusher;Vérin pousseur
Actuator rotary;Actionneur rotatif
Actuator solenoid pilot-valve;Commande de valve par pilotage à com
Actuator solenoid valve;Commande de valve électrique directe
Actuator valve;Commande de valve
Acute poisoning;Intoxication aiguë
Adaptability;Polyvalence
Adaptation to the threat and to the;Adaptation à la menace et à l'enviro
Adaptation (optics);Accommodation (optique)
Adapter(or);Adaptateur
Adapter(or);Adaptateur
Adaptive;Adaptatif
Adaptor nozzle for CO² drenching ins;Canule
Adaptor piece;Extrémité de chaîne
Adaptor/connecting piece;Manchette de raccordement
Added weight;Masse entraînée
Adder;Additionneur (circuit logique)
Addition agent;Adjuvant
Addition polymer;Polymère d'addition
Addition polymerization;Polymérisation par addition
Additional agent;Charge (sorte d'adjuvant)
Additional clause;Avenant
Additional overlap;Recouvrement supplémentaire
Additive;Additif
Additive colour mixing;Mélange additif de couleurs
Additive package;Préformulation d'additifs
Additive anticorrosion;Additif anticorrosion/inhibiteur de
Additive antioxidant;Additif antioxydant/inhibiteur d'oxy
Additive anti-foam;Additif anti-mousse
Additive anti-scoring;Additif anti-grippage
Additive anti-wear;Additif anti-usure
Additive detergent;Additif détergent
Additive dispersant;Additif dispersant
Additive multifunctional;Additif multi-fonctionnel
Additive rust preventive;Additif antirouille
Address threats (to);Adresser des menaces
Addressee;Destinataire
Addressee;Intervenants qui reçoivent un docume
Adduct;Adduct
Add-on;Accessoire supplémentaire
Adequate stiffness;Rigidité adéquate
Adherence;Adhérence
Adhesion;Adhérence
Adhesion in friction;Adhérence au frottement
Adhesive;Colle
Adhesive cold-cure epoxy;Colle époxyde à polymérisation à fro
Adhesive cold-setting;Adhésif durcissable à froid
Adhesive contact;Adhésif de contact/colle de contact
Adhesive hot-cure epoxy;Colle époxyde à polymérisation à cha
Adhesive reactive;Colle réactionnelle
Adiabatic exponent;Exposant adiabatique
Adjacency;Contiguïté
Adjust fire (to) (Naval Gunfire Supp;Ajuster le tir
Adjust or set (to);Caler (régler)
Adjust (to);Ajuster
Adjust (to);Mettre au point
Adjust (to);Régler
Adjustable;Réglable
Adjustable bracket;Console réglable
Adjustable grille;Grille réglable
Adjustable mounting plates (for atta;Platines réglables  (permettant la f
Adjustable pattern air diffuser;Diffuseur à répartition d'air réglab
Adjustable resistor;Résistance ajustable (ou réglable)
Adjustable suspension;Suspension réglable
Adjustable trim tab (on outboard eng;Languette d'assiette réglable (sur m
Adjusted internal rate of return;Taux d'actualisation
Adjusting piece;Taquet de réglage
Adjusting ranges;Plage de réglage
Adjustment;Ajustage (réglage)
Adjustment;Rectification (d'une route)
Adjustment;Réglage
Adjustment sections;Tronçons de réglage
Adjustment / setting;Paramétrage
Adjustment coarse;Réglage approximatif
Adjustment crystal;Ajustage quartz
Adjustment indicator;Réglage axiomètrique
Adjustment pressure switch and timi;Réglage de pressostats et de tempori
Administration Division (SAW II);Section Administration (SAW II)
Administration and human resources d;Direction de l'administration et des
Admiral;Amiral
Admiralty Raster Chart Service;Service des Cartes Informatisées de
Admiralty Research Establishment;Centre de recherche de la Royal Navy
Admiralty Research Establishment;Etablissement de recherche de la Roy
Admittance;Admittance
Admittance acoustic;Admittance acoustique
Admittance electrical;Admittance électrique
Admittance mechanical;Admittance mécanique
Adrift;A la dérive
Adrift;Dérive à la
Adrift;Dérive en
Adulteration;Falsification
Advance;Avance
Advance angle of a propeller blade s;Angle d'avance d'une section de pale
Advance coefficient or advance numbe;Coefficient d'avance
Advance payment;Avance forfaitaire
Advance payment deposit;Acompte
Advance ratio;Degré d'avance
Advance ratio of a propeller;Degré d'avance d'une hélice
Advanced Course (SAW II);Stage de formation avancée (SAW II)
Advanced Technology Demonstration;Démonstration technologique avancée
Advanced composites;Composites de pointe
Advanced stage of polymerization;Stade avancé de polymérisation
Advanced technology level;Caractère de technologie avancée
Advancing colours;Couleurs proches
Adze;Herminette
Aeration;Teneur en air (d'un liquide)
Aerial lead-in;Descente d'antenne
Aerial periscope;Antenne périscopique
Aerial television;Antenne de télévision
Aerial/antenna;Aérien
Aerodynamics;Aérodynamique
Aerofoil;Surface portante
Aerofoil blade section;Profil d'aile portante; section bico
Aerographer's Mate;Météorologiste océanographe
Aeronautical industry;Construction aéronautique
Aeropause;Aéropause
Aerosol;Aérosol
Affected;Concerné
Affinity diagram;Diagramme des affinités
Affinity to oxygen;Affinité avec l'oxygène
Afloat (to be);Etre à flot
Aft plane diving plane hydroplane;Barre de plongée
Aft servo-motor;SMA (servomoteur arrière)
Aft / After end;Arrière
Aft / after;Arrière
Aft / at the stern;A l'arrière
After deck;Plage arrière
After engine room;Propulsion arrière
After main engine(s);Propulsion arrière
After poppet;Colombier arrière
After screen;Façade arrière (de toit  de roof ..
After tack;Poissage tardif
After zone layout;Aménagement de la zone arrière
Afterbody;Partie arrière
Afterburning;Postcombustion
Afterdeck;Gaillard arrière
Afterflame;Flamme persistante
Afterglow;Incandesence résiduelle
Afterglow;Persistance de la luminescence
Afterglow;Rémanence
Afterglow trail;Sillage rémanent
Afterpeak;Coqueron arrière/peak arrière
Afterpeak;Peak arrière
After-bake;Postcuisson/recuit
After-cooler air (Gas Turb.);Réfrigérant d'air secondaire (TAG)
After-sales group;Groupe Après Vente
Against the lay;En sens inverse du commettage
Ageing;Vieillissement
Ageing/aging;Vieillissement
Agency fee;Commission de gestion
Agenda;Ordre du jour (d'une réunion)
Agent;Mandataire
Agent Halon extinguishing;Halon d'extinction incendie
Agent acetylation;Agent acétylant
Agent anticaking;Agent antimottant
Agent anticoppering;Anticuivrant
Agent antifouling;Agent anticorrosion
Agent antistatic;Agent antistatique
Agent anti-settling;Agent de suspension
Agent anti-skinning;Agent antipeaux
Agent biological warfare;Agent de guerre biologique
Agent blowing;Gonflant/agent d'expansion
Agent bubble-breaking;Agent antibulles
Agent chemical warfare;Agent de guerre chimique
Agent corrosive;Agent corrosif
Agent coupling;Agent de pontage
Agent cross-linking;Agent de réticulation
Agent curing;Agent de cuisson
Agent curing;Agent de traitement/agent de cuisson
Agent deflocculation;Agent antifloculant
Agent degreasing;Agent dégraissant
Agent de-icing;Agent dégivrant
Agent emulsifying;Agent émulseur
Agent flame retardant;Agent ignifugeant
Agent foaming;Produit moussant
Agent hardening;Agent de durcissement/durcisseur
Agent hardening;Durcisseur
Agent light stabilizing;Agent stabilisateur à la lumière
Agent mould self-release;Agent auto-démoulant
Agent mould-release;Agent de démoulage
Agent neutralizing;Agent neutralisant
Agent passivation;Agent de passivation
Agent pickling;Agent décapant
Agent release;Agent de démoulage/agent antiadhéren
Agent self-quenching;Agent auto-extinguible
Agent setting;Agent durcisseur
Agent stabilizing;Agent stabilisateur
Agent surface-active wetting;Agent mouillant tensio-actif
Agent suspending;Agent de suspension
Agent thixotropic;Agent thixotrope
Agent viscosity control;Agent de contrôle de la viscosité
Agent wax-based mould-release;Agent démoulant à base de cire
Agent wetting;Agent mouillant
Aggregates;Agrégats
Agitateur;Stirrer
Agreement;Contrat
Aground;Au plein
Aground;Plain (au)
Ahead;En avant
Ahead idle (Engine order);Marche avant ralenti
Ahead of;En amont de
Ahead (Engine order);Marche avant
Ahead Dead Slow;Avant très lente (en)
Ahead Emergency Full;Avant urgent
Ahead Full;Avant toute (en)
Ahull;A la cape sèche
Aids helicopter landing;Aides à l'appontage hélico.
Aids navigational / Navaids;Aides à la navigation
Aid Automatic Radar Plotting;Aide au pointage radar automatique (
Aid decision-making;Aide à la décision
Aid helicopter winching;Aide à l'hélitreuillage
Aid tactical decision;Aide à la décision tactique
Aim;Visée
Aiming;Pointage
Aiming laser;Laser de visée
Aiming sight;Lunettes de visée
Aim train (to);Pointer (artillerie)
Air Control Man;Contrôleur d'aéronautique (SAWII)
Air blast;Déflagration aérienne
Air blast;Souffle de détonation
Air blast injection;Injection pneumatique
Air blast or air venting;Chasse d'air
Air bleeder;Purgeur (p.e. s/circuit hydraulique)
Air bubble impact;Influence de bulles d'air (sur struc
Air chamber;Amortisseur de pulsations
Air chamber;Antibélier
Air compressor;Surpresseur
Air compressor;Surpresseur d'air
Air condenser de-humidifier;Déshumidificateur avec condenser à a
Air conditioning;Climatisation
Air conditioning;Conditionnement d'air
Air content;Teneur en air
Air conversion level sensor;Jauge pneumatique
Air cooled;Refroidi par l'air
Air cooler;Aéro-réfrigérant
Air cooler diesel generator;Réfrigérant d'air de diesel-alternat
Air cooler engine;Réfrigérant d'air de moteur
Air cooler static converter;Réfrigérant d'air de convertisseur s
Air cooler turbo blower;Réfrigérant d'air de turbo-soufflant
Air course;Virure d'aération
Air cylinder banks (US);Rangées de bouteilles à air comprime
Air damper;Régulateur d'air
Air defence ground environment (NATO;Infrastructure électronique de la dé
Air diffuser;Diffuseur d'air
Air dryer;Assécheur d'air
Air dryer dehydrator;Déshydrateur
Air drying;Séchage à l'air
Air duct;Conduit aéraulique
Air entrapment;Emprisonnement d'air (dans stratifié
Air escape;Echappée d'air
Air escape;Echappement d'air
Air escape;Event
Air flow too high;Débit d'air trop élevé
Air flow too low;Débit d'air trop bas
Air flushing;Chasse à l'air
Air foil (Gas Turb.);Profil aérodynamique (TAG)
Air gap;Entrefer
Air gap;Espace
Air gap;Intervalle d'air
Air gap;Lame d'air
Air inlet cover;Obturateur d'arrivée d'air
Air intake cascade(GT);Admission d'air
Air kerma;Kerma dans l'air
Air leak;Fuite d'air
Air lock;Poche d'air
Air lock;Sas
Air locking;Formation d'une poche d'air
Air operated;Conduite pneumatique
Air operated;Pneumatique
Air outlet louvre;Bouche d'air
Air oxidation;Oxydation à l'air
Air photograph;Prise de vue aérienne
Air pickets;Piquets aériens
Air picture compiler;Poursuiteur image aérienne
Air picture reporter (force);Poursuiteur/opérateur image aérienne
Air picture reporter (local);Poursuiteur/opérateur image aérienne
Air pocket (defect introduced during;Poche d'air (défaut de fabrication)
Air port;Hublot
Air port;Ouverture d'aspiration d'air
Air ports;Entrées d'air
Air regenerator;Régénérateur d'air
Air riveter;Riveteuse pneumatique
Air saturated with moisture;Air saturé d'humidité
Air scatter sky shine;Effet de ciel
Air scavenging;Soufflage d'air
Air storage vessel;Récipient d'air
Air suction air intake;Aspiration d'air
Air surveillance;Veille aérienne
Air target;But aérien
Air test cap (USN);Bouchon d'essai de l'air
Air vent;Dégagement d'air
Air vent;Mise à l'air libre
Air vent connection;Bossage pour dégagement d'air
Air warfare frigate;Frégate anti-aérienne
Air weapons;Munitions aéronautiques
Air weapons storage area;Parc (munitions avia)
Airblast launching;Lancement par chasse d'air
Airbleed felt;Feutre de drainage
Airborne Warning and Control System;Radar d'alerte et de veille aéroport
Airborne early warning;Système aéroporté de détection loint
Airborne noise;Mesure bruit aérien
Airborne troops;Troupes aéroportées
Airconditionning and Cooling Systems;Frigoriste
Aircraft;Aéronefs
Aircraft Ship Integrated Secure and;Système semblable au SAMAHE
Aircraft construction directorate;Direction des constructions aéronaut
Aircraft controller (helicopter) (RN;Contrôleur aérien d'hélicoptères
Aircraft downwash;Perturbations aérodynamiques
Aircraft finish;Finition aéronautique
Aircraft incoming;Avion en rapprochement
Aircrew Survival Equipmentman;Spécialiste en matériel de sécurité
Aired evaporator;Evaporateur ventilé
Airflow;Flux d'air
Airfoil;Profil (aérodynamique)
Airfreight (to);Acheminer par fret aérien
Airlock with access to upper deck;Sas extérieur
Airlock with internal access;Sas intérieur
Airlock divers';SAS pour plongeurs
Airlock engine room;Sas du compartiment machines
Airlock undressing (in cleansing st;SAS de déshabillage
Airlock vapour-danger;Sas danger vapeur
Airlock vertical;Sas de descente
Airshield visor;Masque à adduction d'air
Airtight;Etanche à l'air
Airtight;Hermétique (à l'air)
Airway;Voie aérienne
Airway bill;Lettre de transport aérien
Air-bound;Désamorcée (pompe)
Air-break type breaker;Rupteur à coupure dans l'air
Air-bubble / void;Poche / bulle d'air
Air-conditioner;Climatiseur
Air-defense cell;Cellule autodéfense
Air-driven (motor);Pneumatique (moteur)
Air-exhausting ceiling;Plafond perforé
Air-hardening (heat treatment);Trempe à l'air (traitement thermique
Air-independent propulsion (AIP) sys;Système de propulsion en anaérobie
Air-raid warning;Alerte aérienne
Air-sea rescue;Sauvetage aéromaritime
Air-surveillance;Surveillance aérienne
Air LP compressed;Air comprimé BP
Air MP compressed;Air comprimé MP
Air Prairie;Ventilation d'hélice
Air Prairie;Ventilation hélice
Air ambient / surrounding / compart;Air ambiant
Air barrier;Air de barrage
Air breathable;Air respirable
Air charge;Air de suralimentation
Air combustion;Air comburant
Air compressed breathing;Air comprimé respirable
Air compressed (LP/HP);Air comprimé (BP/HP)
Air control;Air de commande
Air cooling;Air de réfrigération
Air diesel generator compressed;Air comprimé de diesel-alternateurs
Air engine;Air carburant
Air engine compressed;Air comprimé moteur
Air entrained;Air entraîné
Air forced;Air soufflé (ou forcé)
Air foul;Air vicié
Air fresh;Air frais
Air fresh;Air neuf
Air induced;Air aspiré
Air instrumentation or control air;Air d'instrumentation ou air de comm
Air intake;Air combustion
Air intake;Air d'admission
Air open (in the);Air libre (à l')
Air pressurized;Air pressurisé
Air ram;Air dynamique
Air recirculating;Air de recyclage
Air scavenging;Air de balayage
Air shop;Air comprimé atelier
Air starting;Air de lancement
Air/watertight integrity;Etanchéité du bâtiment
Aitiography;Aitiographie
Alarm;Alarme
Alarm block;Pavé d'alarmes
Alarm comparator;Alarme comparateur d'
Alarm log;Journal d'alarmes
Alarm mute;Arrêt klaxon
Alarm reaction module;Module de réaction à l'alerte
Alarm reset;Acquittement d'alerte
Alarm signal;Klaxon d'alerte
Alarm system;Dispositif d'alarme
Alarm (in general);Klaxon
Alarms broadcast (internal);Diffusion d'alertes
Alarm SNTI;Alarme SNTI
Alarm audible;Alarme sonore
Alarm audible;Avertisseur sonore
Alarm cabinet overheat;Alarme échauffement baies
Alarm chemical;Alerte agressif
Alarm fire;Alarme d'incendie
Alarm fire;Avertisseur d'incendie
Alarm high level;Alarme haut niveau (d'huile d'eau..
Alarm high temperature;Alarme de haute température
Alarm intruder;Alarmes d'entrée de zone
Alarm low level;Alarme bas niveau (d'huile d'eau...
Alarm low level;Alarme de niveau bas
Alarm no-voltage;Avertisseur d'absence de tension
Alarm overload;Avertisseur de surcharge
Alarm radiation;Avertisseur de rayonnement
Alarm synthesized voice;Alarme à voix de synthèse
Alarm torpedo;Alerte de torpille
Alarm visual;Alarme visuelle
Alarm voice;Alarme vocale
Alert;Alerte
Alert room;Salle d'alerte
Alert state;Stade d'alerte
Algorithm automatic target recognit;Algorithme de reconnaissance automat
Algorithm baseband signal processin;Algorithme de traitement de signaux
Algorithm computer-aided detection;Algorithme de détection assisté par
Algorithm cryptographic;Algorithme de cryptage
Algorithm gun-fire control;Algorithme de commande de tir du can
Align;Aligner
Align (to);Ligner
Aligning sight;Lunette de visée
Alignment;Accostage
Alignment;Alignement
Alignment;Lignage
Alignment of equipment;Lignage des matériels
Alignment pad;Patin d'orientation
Alignment with the threat;Alignement avec la menace
Alignment (of a gun etc.) /indicatio;Bien pointé
Alignment electrical;Alignement électrique
Alignment equipment;Alignement des équipements
Alignment heading marker;Alignement ligne de foi
Alignment mechanical;Alignement mécanique
Alignment propulsion system;Alignement de chaîne cinématique
Alive;Sous-tension
Alkali removing;Décapage alcalin
Alkaline concentration (ph);Titre alcalimétrique (ph)
Alkalis;Bases
Alkali-resistant paint;Peinture antibases
Alkyd;Alkyde
All;Ensemble de ... (l')
All after....(in message);Tout après
All before....(in message);Tout avant
All individual wires connected to pi;Pinochage complet
All pipes to be installed with 3% sl;Tous les tuyaux doivent être install
All purposes;Toutes opérations
Alleviator;Amortisseur de coup de bélier
Alleviator;Amortisseur de pulsations
Alley (US);Coursive
Allied Tactical Publication (ATP);Publication tactique interalliée
Allied naval engineering publication;Publication interalliée d'ingénierie
Alligatoring;Crocodilage
Alligatoring;Lézardage
Alligatoring;Maroquinage
Alligatoring;Peau de crapaud
Allloy grade;Nuance d'alliage
Allocated quantity of spare parts;Quantité de rechanges
Allocated / assigned;Affecté
Allocation of DAU channels;Affectation des voies UAD
Allocation of DAU channels;Liste des affectations des voies UAD
Allowable;Admissible
Allowable working pressure;Timbre (pression maximum)
Allowables;Tolérances
Allowance;Allocation
Allowance;Ration
Allowance;Tolérance
Alloy;Alliage
Alloyed;Allié
Alloy aluminium;Alliage d'aluminium
Alloy cast;Alliage de fonderie
Alloy cast aluminium;Alliage alu coulé
Alloy copper;Alliage cuivreux
Alloy forge;Alliage forgeable
Alloy light;Alliage léger
Alloy non-ferrous;Alliage non ferreux
Alloy primary;Alliage de première fusion
Alloy secondary;Alliage de deuxième fusion
Alloy wrought;Alliage corroyé
All-up weight;Masse
